CustomerID,Recency,Frequency,Monetary,r_score,f_score,m_score,RFM_score,segment,important
12346,326,1,0.0,1,1,1,111,Hibernating,2
17548,234,1,0.0,1,1,1,111,Hibernating,2
13762,219,1,0.0,1,1,1,111,Hibernating,2
15802,143,1,0.0,2,1,1,211,About To Sleep,5
14557,85,1,0.0,2,1,1,211,About To Sleep,5
16878,84,1,0.0,2,1,1,211,About To Sleep,5
13364,71,1,0.0,3,1,1,311,Potential Loyalist,9
12607,60,1,0.0,3,1,1,311,Potential Loyalist,9
12454,56,1,0.0,3,1,1,311,Potential Loyalist,9
18274,30,1,0.0,4,1,1,411,Potential Loyalist,9
13256,14,1,0.0,4,1,1,411,Potential Loyalist,9
12558,8,1,0.0,5,1,1,511,Potential Loyalist,9
16446,1,2,2.9,5,1,1,511,Potential Loyalist,9
16738,298,1,3.75,1,1,1,111,Hibernating,2
14792,64,1,6.2,3,1,1,311,Potential Loyalist,9
16454,45,2,6.9,3,1,1,311,Potential Loyalist,9
17956,249,1,12.75,1,1,1,111,Hibernating,2
15823,372,1,15.0,1,1,1,111,Hibernating,2
17763,263,1,15.0,1,1,1,111,Hibernating,2
17900,190,2,15.0,1,1,1,111,Hibernating,2
13307,120,1,15.0,2,1,1,211,About To Sleep,5
16093,107,1,17.0,2,1,1,211,About To Sleep,5
18072,186,1,20.04,1,1,1,111,Hibernating,2
17986,56,1,20.8,3,1,1,311,Potential Loyalist,9
16953,30,1,20.8,4,1,1,411,Potential Loyalist,9
17102,262,1,25.5,1,1,1,111,Hibernating,2
18268,134,1,25.5,2,1,1,211,About To Sleep,5
15657,23,1,30.0,4,1,1,411,Potential Loyalist,9
13120,239,1,30.6,1,1,1,111,Hibernating,2
17408,163,1,32.65,2,1,1,211,About To Sleep,5
16765,294,1,34.0,1,1,1,111,Hibernating,2
15744,78,1,34.8,2,1,1,211,About To Sleep,5
14576,372,1,35.4,1,1,1,111,Hibernating,2
17831,33,1,35.4,3,1,1,311,Potential Loyalist,9
